Epochs,Batch Size,Activation,Neurons,Dropout,MSE,RMSE,MAE,MAPE,RÂ²
200,64,elu,"(128, 64, 32)",0.0,6.910292091157929,2.628743443388481,1.9976277406890124,10.13888633934126,0.7284091011571934
300,32,elu,"(128, 64, 32)",0.0,7.097717425591741,2.6641541670090603,2.0384661919301825,10.49915677967592,0.7210428401694813
300,64,elu,"(128, 64, 32)",0.0,7.125150927579055,2.669297834183937,2.0245300486146087,10.497185409423013,0.7199646383561782
200,32,elu,"(128, 64, 32)",0.2,7.286598664780651,2.6993700496191053,2.068130903277325,10.60258116194368,0.7136193586654942
300,64,elu,"(128, 64, 32)",0.2,7.332451501671759,2.707849977689266,2.078184081678202,10.566248641197578,0.711817233223983
200,64,elu,"(128, 64, 32)",0.2,7.3333678674349585,2.7080191778189016,2.0954051777703104,10.706687263277939,0.7117812178720972
300,32,elu,"(128, 64, 32)",0.2,7.525535855972435,2.743271013948938,2.1186276238788966,10.896641563771952,0.7042285593090116
300,32,elu,"(128, 64)",0.0,7.947368257135058,2.8191077058415237,2.164469174983476,11.1700498214769,0.687649543620316
200,32,elu,"(128, 64)",0.0,8.452745880794655,2.907360638241265,2.237574966073175,11.54037596795466,0.6677870021742927
200,32,relu,"(128, 64, 32)",0.2,8.525233567161688,2.9198002615181897,2.26138805610337,11.627471419463717,0.6649380638608677
300,64,relu,"(128, 64)",0.0,8.8136278842945,2.968775485666523,2.291239257713691,11.865425837850902,0.6536034819390009
300,32,relu,"(128, 64, 32)",0.2,9.08403000934008,3.013972463268382,2.3413369905962518,12.05465987543933,0.64297603591771
200,64,relu,"(128, 64, 32)",0.2,9.230453837916762,3.038166196559491,2.36668746657366,12.289202224459697,0.6372212315345449
300,64,relu,"(128, 64, 32)",0.0,9.464881477526935,3.076504750122602,2.388305577521274,12.33745440401483,0.6280076682704405
200,64,relu,"(128, 64, 32)",0.0,9.492163869342097,3.0809355509880594,2.382127042477289,12.18964995811391,0.6269354054459584
300,64,relu,"(128, 64, 32)",0.2,9.532737473490585,3.087513153573695,2.4125446084769693,12.343487790195903,0.6253407663953052
200,32,relu,"(128, 64, 32)",0.0,9.53354671739612,3.0876442018788564,2.3884682824642196,12.194830811070807,0.6253089611869598
200,32,relu,"(128, 64)",0.0,9.55307899897397,3.0908055582604947,2.3984364446855393,12.307467806143507,0.6245412961099703
300,32,relu,"(128, 64)",0.0,9.687673965860515,3.112502845920067,2.4216202004269474,12.44464767593605,0.6192513940979831
300,32,relu,"(128, 64, 32)",0.0,9.720267575626462,3.1177343657897576,2.41687718720042,12.385910620141479,0.6179703877879617
200,64,relu,"(128, 64)",0.0,9.75359466597365,3.1230745533806346,2.4476772100461934,12.522698639502869,0.6166605539482619
200,32,relu,"(128, 64)",0.2,10.007086901666094,3.1633979992511367,2.4858713650731183,12.783855650222776,0.6066977067584194
200,64,elu,"(128, 64)",0.0,10.204700227115381,3.194479648881079,2.502822835342709,12.73287468472284,0.5989310335159437
200,32,elu,"(128, 64, 32)",0.0,10.216571918664139,3.1963372661007066,2.5004739341136326,13.038832296274377,0.5984644478295532
300,64,elu,"(128, 64)",0.0,10.22165731929486,3.1971326715191,2.512913467026423,12.791701994996204,0.5982645795012606
300,64,relu,"(128, 64)",0.2,10.604791677922714,3.256499912163781,2.591954377199912,13.285511455385127,0.5832064888352457
300,64,elu,"(128, 64)",0.2,10.663079797614563,3.2654371526052315,2.5962609050715204,13.442916023654321,0.5809156272319826
300,32,elu,"(128, 64)",0.2,10.799736886371058,3.2862953133233566,2.6134566121106935,13.573692567205754,0.5755446789306644
200,32,elu,"(128, 64)",0.2,10.819063746813232,3.28923452292676,2.6215037747228798,13.488206863159416,0.5747850873924115
300,32,relu,"(128, 64)",0.2,10.840382649140507,3.2924736368178418,2.632638833297978,13.451105008979505,0.5739472038747502
200,64,elu,"(128, 64)",0.2,10.85152193250807,3.2941648308043225,2.6229788908997294,13.475719891917887,0.5735094035701679
200,64,relu,"(128, 64)",0.2,11.143369411591697,3.3381685714762366,2.6769573447590522,13.782243777129151,0.5620391041785184
