Epochs,Batch Size,Neurons,Activation,Dropout,Learning Rate,BatchNorm,MSE,RMSE,MAE,MAPE,RÂ²
200,64,"(256, 128, 64)",relu,0.3,0.001,True,8.28062676899588,2.877607820568307,2.205804916797694,0.12161720176114245,0.7803988399504787
200,128,"(256, 128, 64)",relu,0.3,0.001,True,8.333304577713493,2.8867463653243757,2.2217988404088054,0.12235056954727361,0.7790018312184142
100,64,"(256, 128, 64)",relu,0.3,0.001,True,8.352045812706777,2.8899906250205687,2.204389412997904,0.12239207428664456,0.7785048160696701
100,128,"(256, 128, 64)",relu,0.3,0.001,True,8.657408323787793,2.9423474172483086,2.255649321933962,0.12466261439696695,0.7704066414338923
100,64,"(128, 64, 32)",relu,0.3,0.001,True,9.022024269983705,3.003668468720159,2.3375131027253673,0.12875942718749203,0.7607370732972178
200,64,"(128, 64, 32)",relu,0.3,0.001,True,9.084761996799045,3.0140938931624284,2.313684568265199,0.12688307182086103,0.7590732768272328
100,64,"(256, 128, 64)",relu,0.3,0.0005,True,9.289438662099139,3.04785804493896,2.352160311844864,0.12811662321367073,0.753645277910139
200,64,"(128, 64, 32)",relu,0.3,0.0005,True,9.94891140791855,3.1541895009524317,2.442290683962264,0.13318529403410798,0.7361561452583425
200,64,"(256, 128, 64)",relu,0.3,0.0005,True,10.224151533914563,3.1975227182796626,2.459209987552411,0.133608152294993,0.7288568124122818
200,128,"(256, 128, 64)",relu,0.3,0.0005,True,10.234853082492918,3.199195693059885,2.4631440808438154,0.13332761197326917,0.7285730087162944
100,64,"(128, 64, 32)",relu,0.3,0.0005,True,10.55575221415586,3.2489617132486894,2.5195427148846963,0.13834362241959247,0.7200628048950188
100,128,"(256, 128, 64)",relu,0.3,0.0005,True,10.945187473257134,3.3083511713929545,2.5633725596174,0.1386943140759716,0.709735031762793
200,128,"(128, 64, 32)",relu,0.3,0.001,True,11.115329832960724,3.3339660815552286,2.5887234669811323,0.13966324980926803,0.7052228782016197
100,128,"(128, 64, 32)",relu,0.3,0.001,True,11.13742992729011,3.3372788207295643,2.5880896226415095,0.14033201395177347,0.7046367865340049
100,128,"(128, 64, 32)",relu,0.3,0.0005,True,11.457047093549363,3.384826006392258,2.6317519981656186,0.14279694629248058,0.6961605802708425
200,128,"(128, 64, 32)",relu,0.3,0.0005,True,11.488295686030037,3.389438845300212,2.6400501179245284,0.143902532118343,0.695331871605411
